mass,wheel_mass,wheel_radius,MaxRPM,MinRPM,MaxBrakeTorque,MaxMotorTorque,MaxSteeringAngle,TireDragCoeff,WheelDamping,ShiftTime,TractionControlSlipLimit,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
2496.535,48.252,0.39,10411.844,929.336,2506.56,449.886,32.122,3.883,0.853,0.41,0.691,0.608,6.072,9,2.784,3.8,-1.433
2499.035,45.174,0.39,7340.294,929.386,2504.595,450.01,39.137,4.01,0.987,0.383,0.688,0.506,6.255,7,2.425,3.6,-1.407
2499.053,54.687,0.39,7389.762,917.977,2505.64,449.975,39.114,3.897,0.853,0.41,0.715,0.823,5.842,8,2.321,3.8,-1.292
2498.962,42.89,0.39,7591.35,899.896,2505.641,450.111,40.068,3.962,0.98,0.383,0.716,0.43,6.383,7,2.571,3.6,-1.588
2496.534,48.512,0.39,7592.703,918.026,2506.567,450.069,39.114,4.065,0.984,0.382,0.715,0.617,6.034,7,2.366,3.8,-1.297
2499.035,43.029,0.39,7340.294,929.386,2506.251,450.01,39.919,4.065,0.986,0.383,0.688,0.434,6.256,7,2.317,3.8,-1.402
2419.889,31.389,0.39,8744.019,902.404,2633.26,450.005,40.023,3.883,0.984,0.41,0.687,0.141,7.64,6,1.896,3,-1.68
2477.386,31.422,0.39,7551.563,899.446,2518.818,449.87,39.157,4.01,0.927,0.411,0.686,0.169,6.96,7,2.478,3.4,-1.822
2446.907,32.467,0.389,7055.031,862.538,2513.186,450.744,39.997,4.095,1.016,0.374,0.723,0.162,7.048,7,2.323,3.6,-1.647
2434.973,32.133,0.389,7462.841,922.514,2532.536,449.059,39.997,4.095,0.984,0.408,0.714,0.156,7.199,7,2.254,3.4,-1.82
2446.327,31.248,0.389,7055.031,902.079,2513.186,450.744,40.025,4.095,1.04,0.374,0.735,0.162,7.281,6,2.026,3.4,-1.591
2425.063,31.287,0.39,8172.247,902.811,2576.327,449.44,39.992,4.104,0.984,0.409,0.714,0.144,7.439,6,2.149,3.2,-1.667
2451.202,31.286,0.39,8172.247,902.811,2576.327,450.114,39.992,4.104,0.984,0.41,0.696,0.156,7.343,6,2.079,3.4,-1.724
2498.962,42.981,0.39,7650.84,918.324,2505.629,450.111,40.026,4.066,1.018,0.383,0.716,0.433,6.346,7,2.246,3.6,-1.292
2420.904,31.287,0.39,8174.366,902.811,2578.574,449.878,39.992,4.104,0.984,0.409,0.714,0.142,7.609,6,1.777,3.2,-1.488
2497.967,31.567,0.39,7592.703,916.97,2505.649,450.005,40.022,4.068,0.984,0.383,0.715,0.178,6.75,6,2.612,3.6,-1.678
2476.238,31.438,0.39,7333.126,900.162,2548.495,450.014,39.115,4.065,0.986,0.383,0.686,0.168,7.146,6,2.336,3.4,-1.664
2419.889,31.389,0.39,7383.543,929.165,2503.993,450.01,39.923,3.883,0.984,0.412,0.687,0.165,7.16,6,2.318,3.4,-1.651
2488.903,31.752,0.39,7372.074,678.022,2521.276,515.414,38.86,4.236,0.829,0.405,0.787,0.174,7.052,9,2.135,3.6,-1.66
2498.495,56.892,0.389,7372.074,653.92,2503.335,511.891,38.862,4.031,0.82,0.405,0.8,0.896,5.48,8,2.914,4,-1.312
2300.707,29.987,0.357,8327.082,780.548,2656.979,452.581,38.797,4.085,1.043,0.405,0.817,0.114,9.227,3,1.348,2.6,-2.06
2499.309,29.987,0.357,8286.212,794.786,2514.779,452.571,38.797,4.079,1.027,0.421,0.793,0.179,7.751,2,2.037,3,-1.882
2499.073,59.166,0.389,8327.612,793.671,2514.286,448.157,38.761,3.917,0.977,0.421,0.798,0.972,5.975,4,2.429,3.6,-1.305
2491.927,50.537,0.39,8291.556,648.001,2505.006,451.583,38.797,4.074,1.043,0.405,0.789,0.685,6.151,5,2.438,3.6,-1.313
2499.155,58.831,0.389,8223.568,652.434,2501.311,448.073,38.826,2.289,0.977,0.407,0.8,0.961,5.74,7,2.568,3.8,-1.32
