max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET,Dece
4998.469,0.115,2.164,0.351,0.433,11.212,2628.867,0.302,3.326,0.256,34.816,1595.537,0.233,6.602,9,0,0,1.619
4506.164,0.16,1.997,0.282,0.401,10.777,2143.466,0.414,3.84,0.266,35.425,1496.078,0.38,2.705,9,0.036,0.15,5.924
5268.107,0.131,1.175,0.304,0.522,8.164,2285.574,0.472,2.978,0.252,33.72,1263.291,0.573,4.664,10,0,0,3.331
5228.877,0.129,1.092,0.206,0.502,8.748,2307.277,0.322,2.377,0.268,32.819,1363.341,0.454,1.798,10,0.123,0.25,5.801
4497.8,0.137,1.927,0.355,0.358,9.114,2692.077,0.292,2.412,0.296,34.352,1564.341,0.311,4.536,9,0,0,2.665
5130.68,0.199,1.952,0.341,0.44,11.833,2366.835,0.394,3.16,0.269,35.118,1515.355,0.327,6.185,10,0,0,3.621
4589.834,0.181,2.557,0.332,0.532,10.941,2669.221,0.344,1.926,0.274,31.99,1264.75,0.45,6.693,12,0,0,3.496
5132.814,0.19,1.423,0.387,0.481,11.241,2061.762,0.345,1.521,0.264,36.598,1237.795,0.565,-4.676,11,0,0,2.935
4933.448,0.13,2.471,0.303,0.545,8.143,2110.119,0.448,1.235,0.208,32.04,1527.911,0.647,7.584,12,0,0,2.418
4427.128,0.155,2.99,0.288,0.561,8.621,2094.249,0.378,1.698,0.287,35.47,1470.559,0.515,0.845,10,0.109,0.2,4.176
4564.462,0.189,2.932,0.211,0.373,9.167,2056.452,0.212,2.179,0.263,35.7,1365.9,0.466,2.935,11,0.008,0.1,4.782
5870.832,0.133,1.484,0.283,0.513,11.998,2592.739,0.215,2.989,0.239,36.458,1239.452,0.283,2.506,11,0.059,0.2,2.109
6835.111,0.113,1.924,0.292,0.315,9.407,2525.4,0.477,3.334,0.24,33.984,1500.21,0.59,6.734,10,0,0,1.534
5049.943,0.105,2.068,0.308,0.547,8.954,2352.814,0.331,2.864,0.231,32.136,1449.454,0.3,3.604,11,0.002,0.05,3.94
5571.624,0.139,1.53,0.217,0.468,11.674,2683.56,0.363,1.933,0.245,32.374,1580.367,0.448,4.399,11,0,0,2.236
6719.626,0.18,2.486,0.312,0.479,11.47,2131.225,0.217,1.687,0.203,33.935,1281.924,0.518,7.294,11,0,0,2.746
6935.728,0.181,1.107,0.302,0.3,8.675,2552.981,0.385,2.897,0.297,33.787,1365.99,0.447,6.553,12,0,0,3.728
5541.342,0.116,1.64,0.216,0.541,8.934,2454.461,0.438,2.003,0.28,34.321,1464.593,0.46,5.593,12,0,0,1.394
6981.076,0.108,2.38,0.298,0.484,9.506,2299.615,0.479,2.801,0.284,33.528,1450.507,0.597,6.571,11,0,0,3.196
4773.51,0.174,2.66,0.329,0.31,8.461,2299.528,0.378,2.057,0.277,31.729,1368.641,0.412,7.545,12,0,0,2.529
4213.839,0.117,2.976,0.368,0.342,8.028,2418.538,0.328,1.915,0.297,33.846,1235.809,0.488,6.624,12,0,0,2.801
4637.46,0.182,1.496,0.246,0.42,9.708,2643.809,0.345,2.384,0.286,33.794,1450.899,0.319,6.195,12,0,0,3.659
4881.085,0.179,2.788,0.37,0.375,8.343,2110.825,0.377,1.539,0.207,33.799,1325.858,0.56,7.159,12,0,0,5.366
5338.412,0.16,1.695,0.268,0.573,11.319,2404.362,0.488,2.027,0.246,33.746,1306.863,0.627,4.198,10,0,0,0.812
6363.195,0.193,2.61,0.357,0.533,11.854,2133.974,0.357,3.167,0.239,32.119,1248.427,0.305,7.313,11,0,0,2.613
6194.485,0.149,1.103,0.338,0.306,11.33,2301.132,0.3,2.378,0.23,34.241,1543.384,0.449,4.91,9,0,0,1.875
5304.513,0.154,1.361,0.394,0.546,10.295,2642.206,0.359,3.6,0.241,35.608,1494.761,0.32,1.896,8,0.108,0.25,3.773
6383.899,0.184,1.536,0.314,0.525,10.534,2142.473,0.428,1.42,0.282,32.867,1440.26,0.594,5.252,12,0,0,2.85
4229.12,0.104,2.114,0.304,0.472,11.273,2291.542,0.234,1.996,0.298,36.066,1221.107,0.43,1.079,12,0.167,0.25,5.343
5091.431,0.132,1.451,0.302,0.356,11.162,2149.242,0.311,1.054,0.254,35.405,1437.099,0.699,-3.568,9,0,0,2.863
6413.14,0.187,2.932,0.206,0.382,9.412,2216.276,0.333,1.398,0.238,34.395,1477.144,0.601,5.113,12,0,0,3.663
