max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,MaxPercentage,SaftyDegree,numbers,TIT,TET
5331.821,0.151,1.798,0.34,0.469,9.177,2631.663,0.271,3.543,0.257,32.97,1213.341,0.191,1.014,8,1.091,1.8
4532.318,0.149,1.095,0.344,0.515,9.246,2682.449,0.287,1.258,0.25,33.07,1202.476,0.641,-3.217,7,0,0
4340.33,0.164,1.424,0.341,0.402,10.268,2673.97,0.289,2.342,0.269,33.083,1201.957,0.331,0.475,10,1.62,2.25
5794.236,0.146,1.486,0.344,0.505,10.002,2669.819,0.294,3.522,0.257,35.42,1208.37,0.257,1.229,3,0.992,1.65
5331.821,0.151,1.798,0.342,0.469,9.729,2631.663,0.271,2.857,0.272,32.97,1213.341,0.191,0.91,10,1.155,1.85
5792.986,0.149,2.053,0.336,0.505,9.402,2546.783,0.312,3.548,0.25,35.389,1601.224,0.067,2.092,3,0.627,1.35
5817.918,0.15,1.05,0.351,0.48,10.12,2679.62,0.31,1.553,0.253,33.122,1201.913,0.556,-2.484,5,0,0
5817.736,0.15,1.045,0.358,0.504,10.12,2582.565,0.31,1.621,0.249,33.122,1201.913,0.537,-1.916,5,0,0
5770.281,0.149,1.014,0.344,0.505,9.246,2559.47,0.312,1.622,0.249,32.948,1214.8,0.537,-2.279,7,0,0
5308.648,0.146,1.581,0.344,0.512,10.05,2669.295,0.287,3.495,0.246,35.516,1201.963,0.21,1.147,4,1.035,1.75
5795.571,0.149,1.022,0.344,0.505,9.246,2629.997,0.288,1.164,0.249,35.309,1232.727,0.667,-3.292,5,0,0
